src_ip,src_port,dst_ip,dst_port,protocol,requested_server_name,application_name
10.20.35.215,61721,103.44.59.74,80,6,ndct-data.video.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,111.48.119.161,18600,17,,Unknown
10.20.35.215,61768,125.74.42.41,80,6,pic0.iqiyipic.com,HTTP.PPStream
10.20.35.215,61634,119.84.52.238,80,6,list3.ppstream.com.iqiyi.com,HTTP.PPStream
10.20.35.215,61733,49.7.32.36,443,6,time.iqiyi.com,TLS.PPStream
10.20.35.215,17339,121.227.168.43,16900,17,,Unknown
10.20.35.215,61773,125.74.42.41,80,6,pic0.iqiyipic.com,HTTP.PPStream
10.20.35.215,64982,49.7.33.29,80,17,,Unknown
10.20.35.215,61772,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,61704,49.7.33.51,80,6,data6.video.iqiyi.com,HTTP.PPStream
10.20.35.215,61777,36.110.238.54,80,6,msg.qy.net,HTTP.PPStream
10.20.35.215,61645,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,61778,36.110.238.54,80,6,msg.qy.net,HTTP.PPStream
10.20.35.215,61724,49.7.32.137,80,6,doh.iqiyi.com,HTTP.PPStream
10.20.35.215,61816,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,61656,124.237.225.14,80,6,msg.qy.net,HTTP.PPStream
10.20.35.215,61807,118.180.40.41,80,6,pic9.iqiyipic.com,HTTP.PPStream
10.20.35.215,61736,36.110.238.54,80,6,,HTTP
10.20.35.215,61818,110.185.186.41,80,6,pic3.iqiyipic.com,HTTP.PPStream
10.20.35.215,61663,124.237.225.7,80,6,ip.geo.iqiyi.com,HTTP.PPStream
10.20.35.215,61819,110.185.186.41,80,6,pic3.iqiyipic.com,HTTP.PPStream
10.20.35.215,61767,125.74.42.41,80,6,pic0.iqiyipic.com,HTTP.PPStream
10.20.35.215,61821,182.242.59.41,80,6,pic1.iqiyipic.com,HTTP.PPStream
10.20.35.215,61665,116.211.198.187,80,6,puma-api.iqiyi.com,HTTP.PPStream
10.20.35.215,61822,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,61770,182.242.59.41,80,6,pic1.iqiyipic.com,HTTP.PPStream
10.20.35.215,61823,125.74.42.41,80,6,pic0.iqiyipic.com,HTTP.PPStream
10.20.35.215,61673,124.237.225.7,80,6,ip.geo.iqiyi.com,HTTP.PPStream
10.20.35.215,61825,219.151.25.41,80,6,pic0.iqiyipic.com,HTTP.PPStream
10.20.35.215,61776,36.110.238.54,80,6,msg.qy.net,HTTP.PPStream
10.20.35.215,61824,219.151.25.41,80,6,pic0.iqiyipic.com,HTTP.PPStream
10.20.35.215,61678,49.7.32.40,80,6,doh.iqiyi.com,HTTP.PPStream
10.20.35.215,61832,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,61781,36.110.238.54,80,6,,HTTP
10.20.35.215,61828,110.185.186.41,80,6,pic3.iqiyipic.com,HTTP.PPStream
10.20.35.215,17492,239.255.255.250,1900,17,239.255.255.250:1900,SSDP
10.20.35.215,61837,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,61820,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,61831,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,123.129.240.34,19600,17,,Unknown
10.20.35.215,61844,110.185.186.41,80,6,pic3.iqiyipic.com,HTTP.PPStream
10.20.35.215,61840,182.242.59.41,80,6,pic1.iqiyipic.com,HTTP.PPStream
10.20.35.215,61838,110.185.186.41,80,6,pic3.iqiyipic.com,HTTP.PPStream
10.20.35.215,61710,116.211.198.237,80,6,,HTTP
10.20.35.215,61849,116.211.198.237,80,6,116.211.198.237,HTTP
10.20.35.215,61842,110.185.186.41,80,6,pic3.iqiyipic.com,HTTP.PPStream
10.20.35.215,61836,118.180.40.41,80,6,pic9.iqiyipic.com,HTTP.PPStream
10.20.35.215,61718,49.7.32.40,80,6,,HTTP
10.20.35.215,33339,218.195.192.73,53,17,pic8.iqiyipic.com,DNS.PPStream
10.20.35.215,61845,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,61841,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,28863,123.126.128.22,17778,17,,Unknown
10.20.35.215,61868,111.202.74.191,80,6,static-d.iqiyi.com,HTTP.PPStream
10.20.35.215,12345,119.97.171.41,8000,17,,Unknown
10.20.35.215,61850,39.156.54.66,80,6,39.156.54.66,HTTP
10.20.35.215,61774,36.110.238.54,80,6,msg.qy.net,HTTP.PPStream
10.20.35.215,61876,123.129.246.26,80,6,pic8.iqiyipic.com,HTTP.PPStream
10.20.35.215,61861,119.84.78.42,80,6,policy.video.iqiyi.com,HTTP.PPStream
10.20.35.215,61856,124.237.225.7,80,6,ip.geo.iqiyi.com,HTTP.PPStream
10.20.35.215,61779,36.110.238.54,80,6,,HTTP
10.20.35.215,61882,49.7.32.138,443,6,cook.iqiyi.com,TLS.PPStream
10.20.35.215,61866,111.202.74.191,80,6,static-d.iqiyi.com,HTTP.PPStream
10.20.35.215,61859,103.44.58.148,443,6,iface2.iqiyi.com,TLS.PPStream
10.20.35.215,61784,36.110.238.54,80,6,,HTTP
10.20.35.215,61889,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,61871,111.202.74.191,80,6,static-d.iqiyi.com,HTTP.PPStream
10.20.35.215,61867,111.202.74.191,80,6,static-d.iqiyi.com,HTTP.PPStream
10.20.35.215,61791,49.7.31.199,80,6,flux.iqiyi.com,HTTP.PPStream
10.20.35.215,61894,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,61874,123.129.246.26,80,6,pic8.iqiyipic.com,HTTP.PPStream
10.20.35.215,61875,123.129.246.26,80,6,pic8.iqiyipic.com,HTTP.PPStream
10.20.35.215,61808,118.180.40.41,80,6,pic9.iqiyipic.com,HTTP.PPStream
10.20.35.215,61899,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,61885,49.7.32.138,443,6,cook.iqiyi.com,TLS.PPStream
10.20.35.215,61886,49.7.32.138,443,6,cook.iqiyi.com,TLS.PPStream
10.20.35.215,61826,219.151.25.41,80,6,pic0.iqiyipic.com,HTTP.PPStream
10.20.35.215,61909,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,61892,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,61893,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,61830,110.185.186.41,80,6,pic3.iqiyipic.com,HTTP.PPStream
10.20.35.215,61904,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,61897,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,61898,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,61833,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,60000,10.20.35.255,60000,17,,Unknown
10.20.35.215,61907,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,61903,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,61835,110.185.186.41,80,6,pic3.iqiyipic.com,HTTP.PPStream
10.20.35.215,60000,10.20.35.255,60005,17,,Unknown
10.20.35.215,60000,10.20.35.255,60003,17,,Unknown
10.20.35.215,61908,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,61843,118.180.40.41,80,6,pic9.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,116.211.201.49,5004,17,,Unknown
10.20.35.215,60000,10.20.35.255,60008,17,,Unknown
10.20.35.215,61912,49.7.32.112,443,6,passport.iqiyi.com,TLS.PPStream
10.20.35.215,61846,103.44.58.148,443,6,iface2.iqiyi.com,TLS.PPStream
10.20.35.215,17339,116.211.199.20,5004,17,,Unknown
10.20.35.215,6881,112.104.75.236,26315,17,,BitTorrent
10.20.35.215,60000,10.20.35.255,60004,17,,Unknown
10.20.35.215,33335,218.195.192.73,53,17,static-d.iqiyi.com,DNS.PPStream
10.20.35.215,17339,111.48.119.49,5004,17,,Unknown
10.20.35.215,17339,116.211.201.57,5004,17,,Unknown
10.20.35.215,60000,10.20.35.255,60009,17,,Unknown
10.20.35.215,61869,111.202.74.191,80,6,static-d.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,116.211.201.144,5004,17,,Unknown
10.20.35.215,61941,36.110.238.56,443,6,msg.qy.net,TLS.PPStream
10.20.35.215,17339,111.202.74.204,5004,17,,Unknown
10.20.35.215,61872,123.129.246.26,80,6,pic8.iqiyipic.com,HTTP.PPStream
10.20.35.215,61939,119.84.78.43,443,6,stc.iqiyipic.com,TLS.PPStream
10.20.35.215,61956,119.84.78.42,80,6,policy.video.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,49.7.30.140,5004,17,,Unknown
10.20.35.215,61877,123.129.246.26,80,6,pic8.iqiyipic.com,HTTP.PPStream
10.20.35.215,61945,124.237.225.14,80,6,msg.qy.net,HTTP.PPStream
10.20.35.215,17339,218.84.171.155,12706,17,,Unknown
10.20.35.215,17339,39.156.40.10,5004,17,,Unknown
10.20.35.215,61879,119.84.78.42,80,6,policy.video.iqiyi.com,HTTP.PPStream
10.20.35.215,61954,116.211.198.237,80,6,116.211.198.237,HTTP
10.20.35.215,17339,49.118.221.154,9222,17,,Unknown
10.20.35.215,61924,118.112.225.41,80,6,dl.static.iqiyi.com,HTTP.PPStream
10.20.35.215,61888,49.7.32.138,443,6,cook.iqiyi.com,TLS.PPStream
10.20.35.215,61957,124.237.225.7,80,6,ip.geo.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,110.152.46.143,32758,17,,Unknown
10.20.35.215,61926,49.7.32.138,443,6,cook.iqiyi.com,TLS.PPStream
10.20.35.215,61890,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,10.20.100.109,41957,17,,Unknown
10.20.35.215,17339,49.118.237.186,34904,17,,Unknown
10.20.35.215,61933,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,61895,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,10.12.84.127,23578,17,,Unknown
10.20.35.215,17339,110.152.13.251,5378,17,,Unknown
10.20.35.215,61934,58.49.213.2,8888,6,update.inter.iqiyi.com,HTTP.PPStream
10.20.35.215,61900,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,110.152.55.24,1819,17,,Unknown
10.20.35.215,17339,49.118.205.5,16831,17,,Unknown
10.20.35.215,61938,119.84.78.43,443,6,stc.iqiyipic.com,TLS.PPStream
10.20.35.215,61905,119.84.52.242,80,6,static-s.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,218.84.171.155,11308,17,,Unknown
10.20.35.215,17339,110.152.19.36,3046,17,,Unknown
10.20.35.215,61942,36.110.238.56,443,6,msg.qy.net,TLS.PPStream
10.20.35.215,58886,101.89.42.66,443,6,,TLS
10.20.35.215,17339,218.84.171.155,23028,17,,Unknown
10.20.35.215,17339,106.124.46.161,13962,17,,Unknown
10.20.35.215,61951,111.48.136.169,80,6,mesh.if.iqiyi.com,HTTP.PPStream
10.20.35.215,60000,10.20.35.255,60001,17,,Unknown
10.20.35.215,17339,106.124.37.197,1027,17,,RTP
10.20.35.215,17339,106.124.124.28,25601,17,,Unknown
10.20.35.215,61952,36.110.238.54,80,6,msg.qy.net,HTTP.PPStream
10.20.35.215,60000,10.20.35.255,60006,17,,Unknown
10.20.35.215,17339,49.118.199.120,32610,17,,Unknown
10.20.35.215,17339,61.128.93.30,53331,17,,Unknown
10.20.35.215,61955,39.156.54.66,80,6,39.156.54.66,HTTP
10.20.35.215,6881,95.211.222.164,51413,17,,BitTorrent
10.20.35.215,17339,106.124.231.118,31867,17,,Unknown
10.20.35.215,17339,49.118.233.198,5966,17,,Unknown
10.20.35.215,17339,10.20.8.194,15618,17,,RTP
10.20.35.215,6881,202.223.99.157,16959,17,,BitTorrent
10.20.35.215,17339,106.124.93.82,41401,17,,Unknown
10.20.35.215,61970,111.63.147.24,443,6,cook.iqiyi.com,TLS.PPStream
10.20.35.215,17339,49.119.3.228,8646,17,,Unknown
10.20.35.215,61920,204.79.197.239,443,6,edge.microsoft.com,TLS.Microsoft
10.20.35.215,17339,49.119.220.15,12097,17,,Unknown
