,src_ip,src_port,dst_ip,dst_port,protocol,requested_server_name,application_name
69,fe80::c78:edc1:fcb7:8363,59105,fe80::90c4:70be:13ae:cebd,53319,6,,TLS
70,192.168.0.101,59375,111.41.49.182,443,17,tv.puui.qpic.cn,QUIC
71,192.168.0.101,62124,36.155.163.111,443,6,snowflake.qq.com,TLS.QQ
72,192.168.0.101,52154,192.168.1.1,53,17,appcfg.v.qq.com,DNS.Tencentvideo
73,192.168.0.101,63827,192.168.1.1,53,17,ins-diu1q33u.ias.tencent-cloud.net,DNS
74,192.168.0.101,62119,36.155.164.119,443,6,tips.video.qq.com,TLS.QQ
75,192.168.0.101,55893,192.168.1.1,53,17,guzzoni-apple-com.v.aaplimg.com,DNS.Apple
76,192.168.0.101,59392,120.204.207.106,8618,6,,RTMP
77,192.168.0.101,59375,112.53.1.126,443,6,appcfg.v.qq.com,TLS.Tencentvideo
78,192.168.0.101,58457,192.168.1.1,53,17,rmonitor.qq.com,DNS.QQ
79,192.168.0.101,62121,117.185.137.148,443,6,ilive.qq.com,TLS.QQ
80,192.168.0.101,49346,192.168.1.1,53,17,ltscsy.qq.com,DNS.QQ
81,192.168.0.101,59366,140.143.177.246,443,6,guzzoni.apple.com,TLS.AppleSiri
82,192.168.0.101,59376,223.109.215.27,80,6,minorshort.weixin.qq.com,HTTP.QQ
83,192.168.0.101,52667,192.168.1.1,53,17,disp-qryapi.3g.qq.com,DNS.QQ
84,192.168.0.101,58190,192.168.1.1,53,17,ins-nwww3do8.ias.tencent-cloud.net,DNS
85,fe80::c78:edc1:fcb7:8363,5353,ff02::fb,5353,17,_airplay._tcp.local,MDNS
86,192.168.0.101,59372,221.181.99.18,443,6,,TLS
87,192.168.0.1,1900,239.255.255.250,1900,17,239.255.255.250:1900,SSDP
88,192.168.0.101,62082,183.247.246.67,443,6,rmonitor.qq.com,TLS.QQ
89,192.168.0.101,65295,192.168.1.1,53,17,ins-nwww3do8.ias.tencent-cloud.net,DNS
90,192.168.0.101,65046,192.168.1.1,53,17,v.terrific.qq.com,DNS.QQ
91,192.168.0.101,65488,192.168.1.1,53,17,h.trace.qq.com,DNS.QQ
92,192.168.0.101,62077,111.48.141.25,443,6,h.trace.qq.com,TLS.QQ
93,192.168.0.101,61857,192.168.1.1,53,17,rdelivery.qq.com,DNS.QQ
94,192.168.0.101,59393,112.53.3.233,443,6,appcfg.v.qq.com,TLS.Tencentvideo
95,192.168.0.101,61966,223.113.137.215,443,17,m.v.qq.com,QUIC.Tencentvideo
96,192.168.0.101,59093,192.168.0.106,53285,6,,TLS
97,192.168.0.101,60569,192.168.1.1,53,17,ins-mbckwsy9.ias.tencent-cloud.net,DNS
98,192.168.0.101,62087,36.155.163.124,443,6,,TLS.QQ
99,192.168.0.101,7758,36.150.103.132,30851,17,,Unknown
100,192.168.0.101,62131,183.194.190.61,443,6,vv6.play.ott.video.qq.com,TLS.QQ
101,192.168.0.101,59378,183.247.246.67,443,6,rmonitor.qq.com,TLS.QQ
102,192.168.0.101,64507,36.155.205.219,443,17,,QUIC
103,192.168.0.101,60047,192.168.1.1,53,17,oth.str.mdt.qq.com,DNS.QQ
104,192.168.0.101,59400,112.53.42.187,14303,6,,Unknown
105,192.168.0.101,35161,112.60.1.30,8002,17,,Unknown
106,192.168.0.101,62088,36.155.228.170,443,6,rdelivery.qq.com,TLS.QQ
107,192.168.0.101,65019,192.168.1.1,53,17,disp-qryapi.3g.qq.com,DNS.QQ
108,192.168.0.101,59628,36.155.251.34,443,17,pbaccess.video.qq.com,QUIC.QQ
109,192.168.0.101,5353,224.0.0.251,5353,17,_airplay._tcp.local,MDNS
110,192.168.0.101,62132,183.194.204.26,443,6,tv6.video.qq.com,TLS.QQ
111,192.168.0.101,56173,192.168.1.1,53,17,iacc.stgw.qq.com,DNS.QQ
112,192.168.0.101,62080,119.29.29.98,80,6,119.29.29.98,HTTP
113,192.168.0.101,59332,192.168.1.1,53,17,vv.video.qq.com,DNS.QQ
114,192.168.0.101,63180,192.168.1.1,53,17,tv6.ott.video.qq.com,DNS.QQ
115,192.168.0.101,35161,223.90.188.228,22372,17,,Unknown
116,192.168.0.101,63063,192.168.1.1,53,17,ins-vfvdrqqu.ias.tencent-cloud.net,DNS
117,192.168.0.101,62083,36.155.205.219,443,6,,TLS.QQ
118,192.168.0.101,60317,192.168.1.1,53,17,vv.video.qq.com,DNS.QQ
119,192.168.0.101,50745,192.168.1.1,53,17,api6.poll.video.qq.com,DNS.QQ
